Reporter Countries;Partner Countries;Element;Y2017
Afghanistan;Netherlands;Export Quantity;296.0
Afghanistan;Netherlands;Import Quantity;4398.0
Afghanistan;New Zealand;Export Quantity;5.0
Afghanistan;New Zealand;Import Quantity;50.0
Afghanistan;North Macedonia;Import Quantity;0.0
Afghanistan;Norway;Export Quantity;14.0
Afghanistan;Norway;Import Quantity;102.0
Afghanistan;Oman;Export Quantity;0.0
Afghanistan;Oman;Import Quantity;2.0
Afghanistan;Pakistan;Export Quantity;418597.0
Afghanistan;Pakistan;Import Quantity;1542085.0
Afghanistan;Paraguay;Import Quantity;2406.0
Afghanistan;Philippines;Import Quantity;211.0
Afghanistan;Poland;Import Quantity;1714.0
Afghanistan;Portugal;Export Quantity;38.0
Afghanistan;Republic of Korea;Export Quantity;0.0
Afghanistan;Republic of Korea;Import Quantity;8777.0
Afghanistan;Republic of Moldova;Export Quantity;2.0
Afghanistan;Romania;Import Quantity;103.0
Afghanistan;Russian Federation;Export Quantity;1699.0
Afghanistan;Russian Federation;Import Quantity;40779.0
Afghanistan;Senegal;Export Quantity;11.0
Afghanistan;Serbia;Import Quantity;26.0
Afghanistan;Seychelles;Export Quantity;0.0
Afghanistan;Singapore;Export Quantity;0.0
Afghanistan;Singapore;Import Quantity;760.0
Afghanistan;Slovakia;Export Quantity;0.0
Afghanistan;South Africa;Export Quantity;0.0
Afghanistan;South Africa;Import Quantity;30.0
Afghanistan;Spain;Export Quantity;0.0
Afghanistan;Spain;Import Quantity;495.0
Afghanistan;Sri Lanka;Export Quantity;94.0
Afghanistan;Sri Lanka;Import Quantity;39.0
Afghanistan;Sweden;Export Quantity;21.0
Afghanistan;Sweden;Import Quantity;0.0
Afghanistan;Switzerland;Export Quantity;5.0
Afghanistan;Switzerland;Import Quantity;29.0
Afghanistan;Thailand;Import Quantity;180.0
Afghanistan;Tunisia;Export Quantity;69.0
Afghanistan;Tunisia;Import Quantity;55.0
Afghanistan;Turkey;Export Quantity;5626.0
Afghanistan;Turkey;Import Quantity;25688.0
Afghanistan;Ukraine;Export Quantity;88.0
Afghanistan;Ukraine;Import Quantity;2737.0
Afghanistan;United Kingdom;Export Quantity;230.0
Afghanistan;United Kingdom;Import Quantity;481.0
Afghanistan;United Republic of Tanzania;Export Quantity;1.0
Afghanistan;United States of America;Export Quantity;560.0
Afghanistan;United States of America;Import Quantity;34653.0
Afghanistan;Uruguay;Import Quantity;161.0
Albania;Algeria;Export Quantity;59.0
Albania;Algeria;Import Quantity;16134.0
Albania;Argentina;Export Quantity;0.0
Albania;Argentina;Import Quantity;2700.0
Albania;Australia;Export Quantity;19.0
Albania;Australia;Import Quantity;740.0
Albania;Austria;Export Quantity;2224.0
Albania;Austria;Import Quantity;14386.0
Albania;Barbados;Export Quantity;4.0
Albania;Belarus;Export Quantity;163.0
Albania;Belgium;Export Quantity;19.0
Albania;Belgium;Import Quantity;8337.0
Albania;Bosnia and Herzegovina;Export Quantity;18827.0
Albania;Bosnia and Herzegovina;Import Quantity;3956.0
Albania;Brazil;Export Quantity;3.0
