,Area,Item,Element,Unit,Y2017
44025,Chile,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,88.38
45383,China,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3194.0
45384,China,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,101.35
45385,China,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,97.58
47309,"China, Hong Kong SAR",Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3358.0
47310,"China, Hong Kong SAR",Grand Total,Protein supply quantity (g/capita/day),g/capita/day,137.93
47311,"China, Hong Kong SAR",Grand Total,Fat supply quantity (g/capita/day),g/capita/day,133.86
48787,"China, Macao SAR",Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3002.0
48788,"China, Macao SAR",Grand Total,Protein supply quantity (g/capita/day),g/capita/day,100.46
48789,"China, Macao SAR",Grand Total,Fat supply quantity (g/capita/day),g/capita/day,131.93
50146,"China, mainland",Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3197.0
50147,"China, mainland",Grand Total,Protein supply quantity (g/capita/day),g/capita/day,101.42
50148,"China, mainland",Grand Total,Fat supply quantity (g/capita/day),g/capita/day,96.86
52047,"China, Taiwan Province of",Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2976.0
52048,"China, Taiwan Province of",Grand Total,Protein supply quantity (g/capita/day),g/capita/day,85.75
52049,"China, Taiwan Province of",Grand Total,Fat supply quantity (g/capita/day),g/capita/day,128.56
53461,Colombia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3094.0
53462,Colombia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,72.36
53463,Colombia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,84.73
55336,Congo,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2309.0
55337,Congo,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,55.9
55338,Congo,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,47.18
57212,Costa Rica,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3015.0
57213,Costa Rica,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,81.16
57214,Costa Rica,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,108.78
58667,Côte d'Ivoire,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2730.0
58668,Côte d'Ivoire,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,59.18
58669,Côte d'Ivoire,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,55.02
60562,Croatia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3083.0
60563,Croatia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,90.35
60564,Croatia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,114.5
61903,Cuba,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3410.0
61904,Cuba,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,88.44
61905,Cuba,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,72.02
63284,Cyprus,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2616.0
63285,Cyprus,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,80.28
63286,Cyprus,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,111.52
64763,Czechia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3276.0
64764,Czechia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,86.48
64765,Czechia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,141.69
66121,Democratic People's Republic of Korea,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2032.0
66122,Democratic People's Republic of Korea,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,52.25
66123,Democratic People's Republic of Korea,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,38.13
67938,Denmark,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3384.0
67939,Denmark,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,113.05
67940,Denmark,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,131.26
69333,Djibouti,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2680.0
69334,Djibouti,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,66.69
69335,Djibouti,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,60.16
70497,Dominica,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2944.0
70498,Dominica,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,78.94
70499,Dominica,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,80.14
71827,Dominican Republic,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2864.0
71828,Dominican Republic,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,66.88
71829,Dominican Republic,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,106.7
73250,Ecuador,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2586.0
73251,Ecuador,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,65.78
73252,Ecuador,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,89.31
75143,Egypt,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3321.0
75144,Egypt,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,96.33
75145,Egypt,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,56.83
76634,El Salvador,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2660.0
76635,El Salvador,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,74.81
76636,El Salvador,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,64.24
78003,Estonia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3245.0
78004,Estonia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,107.5
78005,Estonia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,106.45
79355,Eswatini,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2405.0
79356,Eswatini,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,61.32
79357,Eswatini,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,43.45
80627,Ethiopia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2304.0
80628,Ethiopia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,65.65
80629,Ethiopia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,26.81
82490,Fiji,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2937.0
82491,Fiji,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,73.93
82492,Fiji,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,95.29
83915,Finland,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3337.0
83916,Finland,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,117.78
83917,Finland,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,139.6
85255,France,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3558.0
85256,France,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,112.09
85257,France,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,157.67
86670,French Polynesia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2924.0
86671,French Polynesia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,97.95
86672,French Polynesia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,125.3
87996,Gabon,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2643.0
87997,Gabon,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,79.68
87998,Gabon,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,56.23
89284,Gambia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2540.0
89285,Gambia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,63.8
89286,Gambia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,80.44
90585,Georgia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2872.0
90586,Georgia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,76.91
90587,Georgia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,70.02
91872,Germany,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3556.0
91873,Germany,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,104.2
91874,Germany,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,148.16
93297,Ghana,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3033.0
93298,Ghana,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,62.96
93299,Ghana,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,40.32
94671,Greece,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3355.0
94672,Greece,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,105.21
94673,Greece,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,150.99
96109,Grenada,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2404.0
96110,Grenada,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,70.58
96111,Grenada,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,78.95
97424,Guatemala,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2549.0
97425,Guatemala,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,69.88
97426,Guatemala,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,60.71
99305,Guinea,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2795.0
99306,Guinea,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,61.84
99307,Guinea,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,68.8
101169,Guinea-Bissau,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2253.0
101170,Guinea-Bissau,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,44.15
101171,Guinea-Bissau,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,62.97
102269,Guyana,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2885.0
102270,Guyana,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,87.87
102271,Guyana,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,65.87
103490,Haiti,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2164.0
103491,Haiti,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,49.94
103492,Haiti,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,44.32
105335,Honduras,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2552.0
105336,Honduras,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,64.16
105337,Honduras,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,69.14
106758,Hungary,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3286.0
